Category,Subcategory,File,Location,Issue,Type,Severity,Status,Action_Required,Notes
Dependencies,Complex_Validation,All *.csproj files,Package references,FluentValidation package usage,Dependency,Medium,Active,Evaluate usage complexity,"Complex validation rules library - assess if usage is simple"
Dependencies,Reactive,All *.csproj files,Package references,System.Reactive package usage,Dependency,Medium,Active,Evaluate usage complexity,"Reactive programming may be over-complex for small clinic"
Dependencies,Performance_Monitoring,Configuration files,Various settings,Detailed caching statistics configuration,Configuration,Low,Active,Consider simplification,"Caching monitoring might be too detailed for small deployment"
Dependencies,Transaction_Coordination,Configuration/Code,Service registration,Obsolete transaction coordinator references,Obsolete Code,Low,Marked,Clean up after review,"Transaction coordination components marked obsolete"
Frontend,UI_Components,src/Client/Desktop/Core/Controls/SmartLoadingIndicator.xaml.cs,Full file,Smart loading indicator control,Active Feature,None,Active,Keep - Basic UI component,"Smart naming but actually basic loading indicator"
Frontend,Events,src/Client/Desktop/Core/Events/WorkflowEvents.cs,Multiple classes,Workflow-named events,Active Feature,None,Active,Keep - Basic navigation,"Events are basic navigation, not complex workflow"
Frontend,Dialogs,src/Client/Desktop/Core/Views/Dialogs/FormulaSelectionDialog.xaml,Full file,Formula selection dialog,Active Feature,None,Active,Keep - Core functionality,"Basic selection dialog for formulas"
Test,Workflow_Naming,tests/Backend/Core/Services/SimplifiedServiceTests.cs,Line 241,Services_Integration_HerbAndUserWorkflowComplete method,Misleading Name,Low,Active,Consider renaming,"Method name suggests workflow but is actually basic integration test"
Test,Workflow_Naming,tests/Backend/LYBT.Module.MedicalCase.Tests/**,Line 520,#region Workflow Tests,Misleading Name,Low,Active,Consider renaming,"Region name suggests complex workflow but contains basic state tests"
Test,Test_Data,tests/UltraThink/TestInfrastructure/Builders/MedicalCaseTestDataBuilder.cs,Line 234,AsFullWorkflowCase method,Misleading Name,Low,Active,Consider renaming,"Method name suggests workflow but is test data builder"
Test,Security_Features,tests/Backend/LYBT.Module.Auth.Tests/**,Multiple files,Account lockout functionality tests,Active Feature,None,Active,Keep - Security feature,"Account lockout is basic security, not超范围功能"
Test,Business_Rules,tests/Backend/LYBT.Module.Users.Tests/UserRepositoryServiceTests.cs,Lines 32-34,Basic business validation tests,Active Feature,None,Active,Keep - Basic validation,"Simple validation logic, not rule engine"
Test,Data_Fields,tests/UltraThink/TestInfrastructure/Builders/HerbTestDataBuilder.cs,Lines 135-137,WithContraindication method,Active Feature,None,Active,Keep - Data field,"Contraindication is data field, not intelligent checking"
Architecture,Obsolete_Rules,tests/Architecture/ArchTests.cs,Lines 296-302,Obsolete DTO exclusion rules,Exclusion Rules,Medium,Active,Update rules after cleanup,"Rules exclude obsolete DTOs that may no longer exist"
Architecture,State_Machine,tests/Architecture/ArchTests.cs,Lines 316-324,State machine detection rules,Arch Rule,None,Active,Keep - Valid constraint,"Rules properly prevent complex state machines"
Configuration,Feature_Flags,All appsettings*.json,Various locations,No feature toggle configuration found,Missing Config,None,Not Found,Good - No complex toggles,"Absence of feature flags is positive for small clinic"
Configuration,Rules_Engine,All configuration files,Searched patterns,No rules engine configuration found,Missing Config,None,Not Found,Good - No rule engines,"Absence of rules engine config is positive"
Configuration,Workflow_Engine,All configuration files,Searched patterns,No workflow engine configuration found,Missing Config,None,Not Found,Good - No workflow engines,"Absence of workflow engine config is positive"
Configuration,AI_ML,All configuration files,Searched patterns,No AI/ML service configuration found,Missing Config,None,Not Found,Good - No AI complexity,"Absence of AI/ML config is positive for Record-Only mode"
